category,num_products,avg_actual_price,avg_discounted_price,avg_discount_percentage,avg_rating,total_reviews
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",7,1727.5714285714287,577.7142857142857,66.85714285714286,4.471428571428571,1310
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,2,1449.0,375.0,74.5,3.9,0
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,1,1999.0,689.0,66.0,4.3,0
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,1,499.0,89.0,82.0,4.1,0
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,1,3495.0,1699.0,51.0,4.1,0
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,3,2679.0,999.0,65.4,4.26,490
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,1,1599.0,539.0,66.0,3.8,0
Electronics|Mobiles&Accessories|MobileAccessories|Stands,10,809.0,179.0,76.4,4.159999999999999,104
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,5,4374.0,1558.5,64.625,4.15,0
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,9,2155.8888888888887,1721.888888888889,18.555555555555557,3.9111111111111114,0
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,68,20593.397058823528,15754.441176470587,23.294117647058822,4.1000000000000005,1253
Electronics|PowerAccessories|SurgeProtectors,1,1499.0,1289.0,14.0,4.5,0
Electronics|WearableTechnology|SmartWatches,62,8554.763157894737,2339.6973684210525,69.8157894736842,4.0249999999999995,4695
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,1,1900.0,899.0,53.0,4.0,0
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,1,99.0,99.0,0.0,4.3,0
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,1,100.0,90.0,10.0,4.4,0
Home&Kitchen|CraftMaterials|PaintingMaterials,1,230.0,230.0,0.0,4.5,0
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,3,255.0,233.66666666666666,9.333333333333334,4.433333333333334,0
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,1,165.0,130.0,21.0,3.9,0
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",1,75990.0,42990.0,43.0,4.3,0
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",4,27113.25,11917.0,41.0,4.275,0
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",11,3349.909090909091,2055.909090909091,38.18181818181818,4.1090909090909085,898
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",3,1913.3333333333333,1465.6666666666667,24.666666666666668,4.1000000000000005,0
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",1,3300.0,1982.84,40.0,4.1,0
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",2,2910.0,1673.5,42.0,3.9499999999999997,397
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",3,3382.6666666666665,2012.6666666666667,39.333333333333336,3.966666666666667,380
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",1,1690.0,699.0,59.0,4.1,0
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",2,9499.5,4524.0,51.5,3.9,0
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",20,3280.0,1997.0884999999998,36.0,3.8899999999999997,1725
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",20,4236.25,2470.15,42.45,3.81,2066
